Year,ocean,land (model),land,CO2
1959,-0.85237591,-0.5160732039,-1.3763894522,315.486
1960,-0.8190166343999999,-1.394030036,-1.9167518897,316.163
1961,-0.7148424526999999,-0.6050982147999999,-1.8188602742,316.856
1962,-0.7567090670000001,-1.3483486486,-2.3079537466,317.558
1963,-0.9049966940999999,-0.8777942653,-2.2331273596,318.268
1964,-1.1417566454,-1.4005760148,-2.2771638013,318.997
1965,-1.2928284166,-0.4232291244,-0.9222638951,319.757
1966,-1.2767067074,-1.2784244128,-1.0548748329,320.56
1967,-1.0702055614000001,-1.6283938585,-2.3841126721,321.41
1968,-1.1006783723,-2.5305576595,-1.7195801041999998,322.31
1969,-1.1386738256,-0.5042561395,-1.2046714361,323.26
1970,-1.0878826756,-0.44183971549999995,-1.8905752237,324.259
1971,-1.1552501623,-2.4623893846000002,-2.7874672766,325.303
1972,-1.3726042436,-1.047974316,-1.1316986838999998,326.392
1973,-1.3803200572999998,-1.4607379109,-1.3544605206,327.526
1974,-1.2889059041,-4.0718154389,-3.0676307483,328.702
1975,-1.3607183047,-2.4372607493,-1.7717066103999999,329.921
1976,-1.3709250323,-2.9578024631,-2.5615024676000004,331.18699999999995
1977,-1.4771376549000002,-1.4178921112,-0.5683241228,332.505
1978,-1.4946779413,-2.8180625008,-1.9057209027,333.874
1979,-1.2957207214,-1.536241533,-0.5577596493000001,335.286
1980,-1.648664414,-0.5193541748,-1.124629557,336.73199999999997
1981,-1.6072665699000002,-2.2743925637,-2.1779354438,338.202
1982,-1.6744427336,-1.5549001341,-2.3960980801,339.69
1983,-1.8284773534,-0.2165196278,-0.48296698200000004,341.194
1984,-1.7489907416,-2.8322967424,-2.0530062537,342.712
1985,-1.6900057872999998,-2.6406923463,-1.4602275807999998,344.23900000000003
1986,-1.7885960474,-2.2512472138999997,-2.8361120018999997,345.77099999999996
1987,-1.812818059,-0.3175652996,0.5289935896,347.301
1988,-1.7060040543000001,-1.8901879754,-0.7590974248,348.82199999999995
1989,-1.7129137859,-3.5176692564,-2.731391421,350.31800000000004
1990,-1.8406722972999998,-2.3416131843,-3.0333700355,351.782
1991,-1.9198180097,-2.1435505891,-3.9869482616000003,353.219
1992,-2.1553719736000003,-2.0132030007,-3.7662762494999997,354.64
1993,-2.072705591,-2.8851850699,-2.7359231412,356.06800000000004
1994,-1.9541338857,-1.4861991251,-2.0001069966,357.527
1995,-1.8958786174000002,-1.642830749,-1.5379475968,359.037
1996,-1.8361363519,-3.1406241411,-3.5998758966,360.60400000000004
1997,-1.9178378124000002,-2.9848355757,-2.1917447230000002,362.231
1998,-2.088455123,-1.3447812307,0.25082341779999995,363.916
1999,-1.9687476524,-3.7048439783999996,-2.9232708628999995,365.652
2000,-1.9082942819,-3.9868284801,-3.4814200273999996,367.431
2001,-1.7732957230000002,-2.4070486244,-2.3645519287999996,369.251
2002,-2.1268488539,-0.9089681514,-1.123730717,371.11400000000003
2003,-2.1600700413,-2.3143552871,-1.7259725924000002,373.017
2004,-2.0813770884,-3.4635597988,-3.6618879526,374.952
2005,-2.1316335753,-1.6069426119999999,-1.8939498100999999,376.91
2006,-2.206397373,-3.121595984,-3.5612978471999996,378.88699999999994
2007,-2.2941113166,-2.7924163263,-2.7756183582,380.88
2008,-2.1949214663,-3.7087879923,-3.8808371994,382.892
2009,-2.297702414,-2.7727911573000004,-4.4448368700000005,384.92699999999996
2010,-2.2344443317,-3.0993645081,-3.0364453106,386.995
2011,-2.4110065403,-4.2544394818999995,-4.738534899799999,389.101
2012,-2.459675306,-2.4894357158,-3.6242374994,391.24800000000005
2013,-2.4926176513,-3.2675176639999997,-3.5282275356999997,393.435
2014,-2.5564891647,-3.8032874826,-4.4106692623,395.651
2015,-2.5802569687,-1.8378471554,-2.5312318107,397.88599999999997
2016,-2.6364382459,-2.5772429234,-2.3583545196,400.13
2017,-2.5064764609,-3.7821974456,-4.106298038,403.5225
