Year,Earth_Land,Earth_Ocean
1996,-1.478889214102371,-1.6005453304999624
1997,-0.7138103343604574,-1.2559807787312645
1998,0.3837315718206866,-1.54873119306037
1999,-1.9227076818291535,-1.5032869979821393
2000,-1.496716534025475,-1.6293392155019935
2001,-1.652210786422713,-1.6347534688130485
2002,-0.2852293167991754,-1.414712009528508
2003,-1.0750249883788645,-1.4260879955885675
2004,-2.4332419607923024,-1.4585903164563765
2005,-1.48750910461873,-1.2160589869503804
2006,-2.375273532510757,-1.6914025079432948
2007,-2.464791106906002,-1.561571054850735
2008,-3.5161842134624655,-1.744246681296574
2009,-3.3431975226623556,-1.561592081391202
2010,-2.633446854512889,-1.4445313944103477
2011,-4.0285963800046565,-1.9296221620081977
2012,-2.6384627241062075,-1.6914758934791059
2013,-2.8830353197582426,-1.916866286827409
2014,-3.3233833933331223,-2.225531606254782
2015,-1.929153148816223,-1.854046148523337
2016,-1.528166254577512,-1.6606190946619994
2017,-3.608157331182986,-2.085668654110701
