Year,fossil fuel and industry,land-use change emissions,atmospheric growth,ocean sink,land sink,budget imbalance,land sink (model)
1959,2.453377862,1.8105875,2.0352,0.85237591,1.376389452,0.860316248,0.516073204
1960,2.568376024,1.6725925,1.5052,0.819016634,1.91675189,0.522721854,1.394030036
1961,2.579723727,1.607579,1.6536,0.714842453,1.818860274,1.213762059,0.605098215
1962,2.685098814,1.566764,1.1872,0.756709067,2.307953747,0.959605098,1.348348649
1963,2.832715054,1.513809,1.2084,0.904996694,2.23312736,1.355333094,0.877794265
1964,2.993811447,1.463909,1.0388,1.141756645,2.277163801,0.876587787,1.400576015
1965,3.129407812,1.4176845,2.332,1.292828417,0.922263895,0.499034771,0.423229124
1966,3.28754254,1.376039,2.332,1.276706707,1.054874833,-0.22354958,1.278424413
1967,3.392742734,1.3547755,1.2932,1.070205561,2.384112672,0.755718814,1.628393859
1968,3.565351977,1.3537065,2.0988,1.100678372,1.719580104,-0.810977555,2.53055766
1969,3.779046762,1.3626985,2.7984,1.138673826,1.204671436,0.700415297,0.50425614
1970,4.051805399,1.3222525,2.3956,1.087882676,1.890575224,1.448735508,0.441839716
1971,4.205708939,1.2846085,1.5476,1.155250162,2.787467277,0.325077892,2.462389385
1972,4.373359927,1.247343,3.1164,1.372604244,1.131698684,0.083724368,1.047974316
1973,4.610633578,1.219347,3.0952,1.380320057,1.354460521,-0.10627739,1.460737911
1974,4.618880652,1.179256,1.4416,1.288905904,3.067630748,-1.004184691,4.071815439
1975,4.592150915,1.147874,2.6076,1.360718305,1.77170661,-0.665554139,2.437260749
1976,4.858344,1.1304835,2.0564,1.370925032,2.561502468,-0.396299996,2.957802463
1977,5.009672278,1.1061895,4.0704,1.477137655,0.568324123,-0.849567988,1.417892111
1978,5.065965844,1.069233,2.7348,1.494677941,1.905720903,-0.912341598,2.818062501
1979,5.347769871,1.0425105,4.5368,1.295720721,0.557759649,-0.978481884,1.536241533
1980,5.291510471,1.0857835,3.604,1.648664414,1.124629557,0.605275382,0.519354175
1981,5.127489798,1.095712216,2.438,1.60726657,2.177935444,-0.09645712,2.274392564
1982,5.082990091,1.107550723,2.12,1.674442734,2.39609808,0.841197946,1.554900134
1983,5.062622281,1.149622054,3.9008,1.828477353,0.482966982,0.266447354,0.216519628
1984,5.244777851,1.186019144,2.6288,1.748990742,2.053006254,-0.779290489,2.832296742
1985,5.401916442,1.203916926,3.4556,1.690005787,1.460227581,-1.180464766,2.640692346
1986,5.566580113,1.241727936,2.1836,1.788596047,2.836112002,0.584864788,2.251247214
1987,5.707536433,1.279088036,5.7028,1.812818059,-0.52899359,-0.846558889,0.3175653
1988,5.91733333,1.296568149,4.7488,1.706004054,0.759097425,-1.131090551,1.890187975
1989,6.046489009,1.323416198,2.9256,1.712913786,2.731391421,-0.786277835,3.517669256
1990,6.053986727,1.321655606,2.5016,1.840672297,3.033370036,0.691756851,2.341613184
1991,6.121554974,1.332811297,1.5476,1.91981801,3.986948262,1.843397673,2.143550589
1992,6.057616029,1.348032194,1.484,2.155371974,3.76627625,1.753073249,2.013203001
1993,6.046163512,1.34886522,2.5864,2.072705591,2.735923141,-0.149261929,2.88518507
1994,6.150063583,1.344577299,3.5404,1.954133886,2.000106997,0.513907872,1.486199125
1995,6.279319153,1.330907061,4.1764,1.895878617,1.537947597,-0.104883152,1.642830749
1996,6.420027049,1.3055852,2.2896,1.836136352,3.599875897,0.459251756,3.140624141
1997,6.527109553,1.780072982,4.1976,1.917837812,2.191744723,-0.793090853,2.984835576
1998,6.546120059,1.227511646,5.936,2.088455123,-0.250823418,-1.595604649,1.344781231
1999,6.531266776,1.201551739,2.8408,1.968747652,2.923270863,-0.781573116,3.704843978
2000,6.702699532,1.315814778,2.6288,1.908294282,3.481420027,-0.505408453,3.98682848
2001,6.860807775,1.177839877,3.9008,1.773295723,2.364551929,-0.042496696,2.407048624
2002,6.95802144,1.338158131,5.0456,2.126848854,1.123730717,0.214762566,0.908968151
2003,7.332625104,1.38701753,4.8336,2.160070041,1.725972592,-0.588382695,2.314355287
2004,7.69312198,1.336143061,3.286,2.081377088,3.661887953,0.198328154,3.463559799
2005,7.984417672,1.213965713,5.1728,2.131633575,1.89394981,0.287007198,1.606942612
2006,8.266057966,1.254037255,3.7524,2.206397373,3.561297847,0.439701863,3.121595984
2007,8.427987253,1.072542422,4.4308,2.294111317,2.775618358,-0.016797968,2.792416326
2008,8.69971501,1.128443656,3.7524,2.194921466,3.880837199,0.172049207,3.708787992
2009,8.603477886,1.573461398,3.4344,2.297702414,4.44483687,1.672045713,2.772791157
2010,9.024741051,1.418948591,5.1728,2.234444332,3.036445311,-0.062919198,3.099364508
2011,9.377010349,1.355331091,3.5828,2.41100654,4.7385349,0.484095418,4.254439482
2012,9.530373556,1.599139249,5.0456,2.459675306,3.624237499,1.134801784,2.489435716
2013,9.609139186,1.542106001,5.1304,2.492617651,3.528227536,0.260709872,3.267517664
2014,9.690454978,1.601503449,4.3248,2.556489165,4.410669262,0.60738178,3.803287483
2015,9.678697253,1.623191526,6.1904,2.580256969,2.531231811,0.693384655,1.837847155
2016,9.736653777,1.300138988,6.042,2.636438246,2.35835452,-0.218888404,2.577242923
2017,9.867156563,1.388417936,4.6428,2.506476461,4.106298038,0.324100592,3.782197446
2018,9.981646894,1.508849132,5.14,2.628249844,3.722246182,0.253417819,3.468828363
