,JENA_s76 Ocean
2015-01-16 00:00:00,-0.2395883597622999
2015-02-16 00:00:00,-0.20970692152436002
2015-03-16 00:00:00,-0.2201567810033353
2015-04-16 00:00:00,-0.16774435710729396
2015-05-16 00:00:00,-0.21241991407806915
2015-06-16 00:00:00,-0.19477782971155527
2015-07-16 00:00:00,-0.1689107458458534
2015-08-16 00:00:00,-0.13183221987206784
2015-09-16 00:00:00,-0.11807942143175329
2015-10-16 00:00:00,-0.12933290587644453
2015-11-16 00:00:00,-0.12252682472905499
2015-12-16 00:00:00,-0.13938895404176588
